city,period,units_total_absorption,fitted_units
Kolkata,Q1-2008,4045.0,
Kolkata,Q2-2008,3578.0,
Kolkata,Q3-2008,2739.0,
Kolkata,Q4-2008,1868.0,
Kolkata,Q1-2009,2027.0,2344.6111029576377
Kolkata,Q2-2009,2285.0,2340.284026031982
Kolkata,Q3-2009,2068.0,2676.968494634422
Kolkata,Q4-2009,2081.0,2576.408395324204
Kolkata,Q1-2010,2659.0,2966.399614724516
Kolkata,Q2-2010,3029.0,3268.9008210632364
Kolkata,Q3-2010,3206.0,3538.7180079597624
Kolkata,Q4-2010,3540.0,3571.11536913124
Kolkata,Q1-2011,4153.0,4036.2761544195205
Kolkata,Q2-2011,3555.0,3849.141230541744
Kolkata,Q3-2011,3212.0,3499.3575394376367
Kolkata,Q4-2011,3516.0,3534.2630759751937
Kolkata,Q1-2012,3637.0,3755.3832053653573
Kolkata,Q2-2012,3893.0,3790.832462319123
Kolkata,Q3-2012,3502.0,3730.1052289567338
Kolkata,Q4-2012,3688.0,3609.100788902945
Kolkata,Q1-2013,4089.0,4061.5454080854697
Kolkata,Q2-2013,3692.0,3731.0224210879933
Kolkata,Q3-2013,3319.0,3561.1302030735274
Kolkata,Q4-2013,3333.0,3481.413497313784
Kolkata,Q1-2014,3157.0,3202.1915920216074
Kolkata,Q2-2014,2914.0,3150.1957595230883
Kolkata,Q3-2014,3194.0,3487.2167836018157
Kolkata,Q4-2014,3296.0,3580.8891731625476
Kolkata,Q1-2015,3679.0,3776.702098541702
Kolkata,Q2-2015,4117.0,3968.2917711929135
Kolkata,Q3-2015,3876.0,3921.334198320776
Kolkata,Q4-2015,3778.0,3953.5262501521597
Kolkata,Q1-2016,3848.0,3776.541678523456
Kolkata,Q2-2016,4317.0,4006.67311386781
Kolkata,Q3-2016,3700.0,3798.5571036927086
Kolkata,Q4-2016,2405.0,2440.8482527363735
Kolkata,Q1-2017,2635.0,2646.1547778569893
Kolkata,Q2-2017,2820.0,2781.3561178325435
Kolkata,Q3-2017,2868.0,2914.260613202761
Kolkata,Q4-2017,3002.0,3319.809831714299
Kolkata,Q1-2018,3442.0,3622.968233326809
Kolkata,Q2-2018,3374.0,3580.862446457702
Kolkata,Q3-2018,3815.0,3961.4118079230293
Kolkata,Q4-2018,4096.0,4028.939373433174
Kolkata,Q1-2019,3834.0,4036.383482073009
Kolkata,Q2-2019,4123.0,3972.923031458281
Kolkata,Q3-2019,3757.0,3942.383240410929
Kolkata,Q4-2019,4910.0,4360.635592622621
Kolkata,Q1-2020,4387.0,4599.911852632
Kolkata,Q2-2020,1294.0,1620.214448847747
Kolkata,Q3-2020,2460.0,2632.4714629172486
Kolkata,Q4-2020,3520.0,3433.172349640732
Kolkata,Q1-2021,3793.0,3909.232975487223
Kolkata,Q2-2021,2172.0,2467.3445881187668
Kolkata,Q3-2021,3715.0,3678.686801477508
Kolkata,Q4-2021,4244.0,4098.059812227976
Kolkata,Q1-2022,4364.0,4243.086489461586
Kolkata,Q2-2022,3372.0,3613.386289100231
Kolkata,Q3-2022,3820.0,3891.273452531463
Kolkata,Q4-2022,4253.0,4104.684445349095
Kolkata,Q1-2023,4271.0,4153.8948333556555
Kolkata,Q2-2023,3869.0,4149.10938944837
Kolkata,Q3-2023,4314.0,4168.812848842704
Kolkata,Q4-2023,4835.0,4431.965659354053
Kolkata,Q1-2024,5070.0,5097.813900568967
Kolkata,Q2-2024,4090.0,4669.588749220906
Kolkata,Q3-2024,3585.0,4069.4620645790474
Kolkata,Q4-2024,4009.0,4117.54772531076
Kolkata,Q1-2025,4136.0,3905.4054695887116
Kolkata,Q2-2025,3942.0,4014.17977812222
Kolkata,Q3-2025,4629.0,4453.759423871705
Kolkata,Q4-2025,4157.0,4209.032637401092
MMR,Q1-2008,17611.0,
MMR,Q2-2008,14059.0,
MMR,Q3-2008,10835.0,
MMR,Q4-2008,8911.0,
MMR,Q1-2009,13734.0,12993.538977713612
MMR,Q2-2009,15408.0,15142.683104150996
MMR,Q3-2009,13848.0,14755.250955574891
MMR,Q4-2009,17275.0,16909.307692077666
MMR,Q1-2010,21552.0,21487.16758698929
MMR,Q2-2010,24942.0,24732.20291326319
MMR,Q3-2010,25475.0,25951.066762590337
MMR,Q4-2010,31829.0,31014.438796881146
MMR,Q1-2011,27353.0,27203.660874578876
MMR,Q2-2011,23859.0,24191.124161175136
MMR,Q3-2011,21443.0,21441.703990290775
MMR,Q4-2011,20671.0,19810.061736438493
MMR,Q1-2012,22234.0,21757.848863397616
MMR,Q2-2012,22194.0,22801.82011401398
MMR,Q3-2012,21303.0,21639.789842721704
MMR,Q4-2012,23380.0,23271.16283661498
MMR,Q1-2013,24410.0,24048.160325068413
MMR,Q2-2013,21420.0,21803.26190594587
MMR,Q3-2013,19460.0,19891.82068757174
MMR,Q4-2013,20417.0,20297.59765268414
MMR,Q1-2014,20733.0,20775.444043601845
MMR,Q2-2014,19519.0,19725.090448923867
MMR,Q3-2014,19403.0,19007.426580982443
MMR,Q4-2014,22452.0,21500.560185167953
MMR,Q1-2015,23398.0,23334.95441243304
MMR,Q2-2015,22675.0,22683.58463590981
MMR,Q3-2015,21746.0,22173.295556819736
MMR,Q4-2015,24345.0,24123.560887959204
MMR,Q1-2016,23721.0,23774.020877629602
MMR,Q2-2016,24308.0,24046.65919818341
MMR,Q3-2016,23568.0,23671.902690225477
MMR,Q4-2016,18015.0,18205.87726996771
MMR,Q1-2017,20345.0,20471.808747017254
MMR,Q2-2017,20539.0,20613.310843300722
MMR,Q3-2017,23550.0,23136.788197057762
MMR,Q4-2017,23315.0,23254.324148115054
MMR,Q1-2018,23612.0,23237.037687407454
MMR,Q2-2018,23499.0,23925.764590048206
MMR,Q3-2018,26046.0,25575.331871633778
MMR,Q4-2018,29957.0,29466.68116499094
MMR,Q1-2019,28239.0,26972.551128168656
MMR,Q2-2019,26896.0,26958.38696719322
MMR,Q3-2019,25687.0,26145.897268265842
MMR,Q4-2019,29240.0,29194.044251167234
MMR,Q1-2020,32606.0,32185.061930623622
MMR,Q2-2020,11866.0,12506.558930936691
MMR,Q3-2020,23066.0,22109.65423200574
MMR,Q4-2020,36366.0,34900.480950307676
